iter	Logloss
0	0.6772082935
1	0.6589499905
2	0.6414545949
3	0.6227913385
4	0.6045878274
5	0.5888836283
6	0.5741895997
7	0.5613080192
8	0.5480486487
9	0.5329896599
10	0.5195752205
11	0.5053836815
12	0.4933712361
13	0.4840416833
14	0.4739350714
15	0.4645080325
16	0.4530592435
17	0.4420025182
18	0.4311861573
19	0.4219874998
20	0.4128650432
21	0.4025676769
22	0.3927194243
23	0.3831438603
24	0.3736487225
25	0.3645709031
26	0.355762673
27	0.3479549119
28	0.3400479128
29	0.3327998294
30	0.3256480691
31	0.3216678107
32	0.3144810308
33	0.3089181609
34	0.3021135658
35	0.295912217
36	0.2900454588
37	0.2836276044
38	0.2775397255
39	0.2729018885
40	0.268267259
41	0.2640759023
42	0.2594752196
43	0.2538758491
44	0.2486971851
45	0.2441893803
46	0.2394567563
47	0.2343142531
48	0.2297670433
49	0.2252412461
50	0.221345424
51	0.2169603888
52	0.2130431464
53	0.2094619058
54	0.2058746169
55	0.2019662057
56	0.1987320023
57	0.1951928586
58	0.1916720941
59	0.1887153489
60	0.1852156404
61	0.1823915587
62	0.1799007578
63	0.1772387461
64	0.174652303
65	0.1724336041
66	0.169799313
67	0.1671047015
68	0.1643910732
69	0.1618017808
70	0.1598181885
71	0.1576097637
72	0.1549619115
73	0.1523633336
74	0.1502193645
75	0.148032808
76	0.1460555004
77	0.1436848224
78	0.141730992
79	0.1397304302
80	0.1381099694
81	0.1364881319
82	0.134775826
83	0.1330214118
84	0.1315617988
85	0.1300449738
86	0.1284717761
87	0.1266191635
88	0.124828209
89	0.1230147583
90	0.1212294466
91	0.1199251404
92	0.1182917412
93	0.1169799266
94	0.1155439955
95	0.1141665316
96	0.11244209
97	0.1113279342
98	0.1099715394
99	0.1083736619
100	0.107240882
101	0.1062312969
102	0.1051148849
103	0.1040191335
104	0.1029341912
105	0.1018806227
106	0.1004270863
107	0.09945360003
108	0.09836451603
109	0.09702015445
110	0.09607435074
111	0.09528274673
112	0.09418285125
113	0.09326686518
114	0.0924206379
115	0.09158516522
116	0.09050193258
117	0.08956834474
118	0.08859406776
119	0.08782924823
120	0.08690562754
121	0.08607415714
122	0.08532405178
123	0.08474575347
124	0.08396028335
125	0.08335491304
126	0.08257285297
127	0.08161023436
128	0.08066767309
129	0.07977385205
130	0.07896491824
131	0.07824551653
132	0.07748926255
133	0.07692503465
134	0.07614114408
135	0.07542184683
136	0.07492683345
137	0.07419112084
138	0.07357028907
139	0.07288241967
140	0.072022624
141	0.07140574135
142	0.07074300479
143	0.07011136781
144	0.06972805713
145	0.0691526282
146	0.06857000145
147	0.06799813882
148	0.06729514109
149	0.06689139559
150	0.06626325643
151	0.06574835239
152	0.0652476548
153	0.06467705971
154	0.06416529481
155	0.06368388405
156	0.0631123325
157	0.06261556476
158	0.06213632043
159	0.06167658418
160	0.06137501253
161	0.06076013148
162	0.06040810053
163	0.05989625716
164	0.0594602323
165	0.05891835214
166	0.05857234503
167	0.05807689961
168	0.05764617613
169	0.05711694075
170	0.05672715934
171	0.05641207375
172	0.05599749239
173	0.05565852385
174	0.05532785144
175	0.05491827688
176	0.05449214047
177	0.05418228685
178	0.05386773474
179	0.05347323766
180	0.05306903622
181	0.0527981421
182	0.05240032132
183	0.05201532871
184	0.05165496495
185	0.05136896944
186	0.05102400213
187	0.05063835393
188	0.05026167161
189	0.04999932087
190	0.04958007468
191	0.04930031543
192	0.0489227665
193	0.04854887207
194	0.04829682997
195	0.04801697044
196	0.04765939898
197	0.04744034222
198	0.04710278609
199	0.04684738686
200	0.04650160633
201	0.04615051605
202	0.04586250524
203	0.04561746341
204	0.04529881779
205	0.04506473207
206	0.04474455054
207	0.04442555507
208	0.0441789583
209	0.04396681219
210	0.04372846929
211	0.04346775684
212	0.0432018579
213	0.04298135252
214	0.04273431536
215	0.04248207152
216	0.04218652673
217	0.04196316613
218	0.04169888807
219	0.04141872535
220	0.04118436708
221	0.04090149075
222	0.04070371732
223	0.04034816975
224	0.04016270331
225	0.0399574479
226	0.03970005473
227	0.03945877698
228	0.03920068411
229	0.03896125173
230	0.03876124965
231	0.03855193276
232	0.03832603847
233	0.03814583257
234	0.03794988337
235	0.03774769513
236	0.03754857011
237	0.03734188233
238	0.03715474209
239	0.03694446085
240	0.03672997002
241	0.03650632016
242	0.03632813071
243	0.03605401597
244	0.03592356317
245	0.03571753469
246	0.0355356703
247	0.03535961362
248	0.03516813564
249	0.03496612755
250	0.03477020064
251	0.03457322418
252	0.0344168065
253	0.03422309291
254	0.03408290372
255	0.03393562348
256	0.03376758226
257	0.03361536535
258	0.03342655107
259	0.03325309981
260	0.03309918959
261	0.03295472093
262	0.03280724105
263	0.03264566708
264	0.03250541241
265	0.03239061236
266	0.03221596065
267	0.03210746046
268	0.03193297149
269	0.03177126728
270	0.03160200704
271	0.03144770402
272	0.03127944365
273	0.03114280125
274	0.03097878946
275	0.03088008185
276	0.03072283957
277	0.03060991971
278	0.03048993411
279	0.03037081048
280	0.03025777477
281	0.03013519581
282	0.03002057684
283	0.0298927211
284	0.02971391878
285	0.02960030037
286	0.02944607674
287	0.02928060636
288	0.02914532134
289	0.02896216898
290	0.02878272034
291	0.02863802371
292	0.02843975232
293	0.02827991692
294	0.02816476376
295	0.02803214221
296	0.02786983116
297	0.02772887772
298	0.02763207374
299	0.02750302197
300	0.02738559118
301	0.02729639594
302	0.02720985162
303	0.02715173181
304	0.02706087878
305	0.02696371496
306	0.02687787685
307	0.02678137652
308	0.0266959052
309	0.0265718233
310	0.0264900975
311	0.02638317153
312	0.02622352603
313	0.02612253127
314	0.02608564418
315	0.02598325512
316	0.02590969544
317	0.02580007374
318	0.02568124889
319	0.02557838996
320	0.02549589272
321	0.02538476065
322	0.02525039495
323	0.02514637898
324	0.02503458783
325	0.02493626999
326	0.02484299052
327	0.02474060263
328	0.02465508534
329	0.02455375048
330	0.02445763831
331	0.02434808695
332	0.02422355329
333	0.02409236712
334	0.02397950065
335	0.02386131259
336	0.0237320203
337	0.02366916439
338	0.02358857706
339	0.02350661585
340	0.0234334037
341	0.02337013897
342	0.02324659172
343	0.02316259409
344	0.02310115569
345	0.02301184321
346	0.0229012481
347	0.02282879021
348	0.02275663086
349	0.0227042981
350	0.02262636308
351	0.02252078683
352	0.02244905998
353	0.02235004152
354	0.02227676367
355	0.02221737934
356	0.02212279936
357	0.02202563903
358	0.02196087949
359	0.02189942391
360	0.02180592482
361	0.02173650601
362	0.02164442096
363	0.02154740108
364	0.02145543512
365	0.02134396758
366	0.02127214927
367	0.02117701259
368	0.02109273731
369	0.02101915814
370	0.0209642824
371	0.0209157699
372	0.02084910208
373	0.02077060062
374	0.02069999389
375	0.02063412606
376	0.02057724292
377	0.02052751024
378	0.02046647415
379	0.02039105867
380	0.02030999519
381	0.02023190695
382	0.02014927367
383	0.02007311484
384	0.02003634893
385	0.01997071951
386	0.01990878617
387	0.01982744179
388	0.01976412227
389	0.01965473132
390	0.01959187239
391	0.01951395247
392	0.01941907
393	0.01932666597
394	0.0192673601
395	0.01921128391
396	0.01915918237
397	0.01909321123
398	0.01903967639
399	0.01896072595
400	0.01889891123
401	0.01884736987
402	0.01879066362
403	0.01872305048
404	0.01866531419
405	0.01860596746
406	0.01852708434
407	0.01845414752
408	0.01839342879
409	0.01833721934
410	0.01826462147
411	0.01820787552
412	0.0181461597
413	0.01808467975
414	0.0180076002
415	0.01796094399
416	0.01788960367
417	0.01783866172
418	0.01775529438
419	0.01768715379
420	0.01763918035
421	0.01758456323
422	0.01753574151
423	0.01749171695
424	0.01742274457
425	0.01736670204
426	0.01731038047
427	0.01726895948
428	0.01719760152
429	0.01713798666
430	0.01707977747
431	0.01701084618
432	0.01693829288
433	0.01688492542
434	0.01683942949
435	0.01681300449
436	0.01674902102
437	0.01669899654
438	0.01665507598
439	0.01656837821
440	0.01650741247
441	0.01646618532
442	0.01641787085
443	0.01639096066
444	0.01632063159
445	0.01626358432
446	0.01620612915
447	0.01614547449
448	0.01608726043
449	0.01603533857
450	0.01599885589
451	0.01595903859
452	0.01591648401
453	0.01585857778
454	0.0158059214
455	0.01575162162
456	0.01570941527
457	0.01566112703
458	0.0156186862
459	0.01557591317
460	0.01552256544
461	0.01545964662
462	0.01541019716
463	0.0153528936
464	0.0153006848
465	0.01526067645
466	0.01521469463
467	0.01516634487
468	0.01510516276
469	0.01506252437
470	0.01501917769
471	0.01496085104
472	0.01491766454
473	0.01487545447
474	0.014836293
475	0.01480175643
476	0.01475331451
477	0.01470290396
478	0.0146613395
479	0.01461080172
480	0.01455503081
481	0.014481073
482	0.01443426797
483	0.0144005502
484	0.01436328888
485	0.01431344663
486	0.01425785517
487	0.01422121091
488	0.0141662567
489	0.01410297154
490	0.01406080349
491	0.01402983438
492	0.01398353753
493	0.01391940642
494	0.01388765449
495	0.01385589212
496	0.01382638486
497	0.01379391513
498	0.01376466742
499	0.01370853783
500	0.01366263889
501	0.01362104356
502	0.01358156032
503	0.01354350412
504	0.01350601739
505	0.01346538524
506	0.01341790466
507	0.01335669237
508	0.01332175233
509	0.01327633835
510	0.01323410692
511	0.01318097138
512	0.01313996524
513	0.01309811523
514	0.01305464273
515	0.01299490622
516	0.01294322255
517	0.01289465133
518	0.01285281107
519	0.01281862296
520	0.01277722936
521	0.01273261537
522	0.01268736506
